Area,Oxygen,Temperature,Humidity,Fire Occurrence
2508,27,54,64,0
531,76,31,41,0
1415,100,37,11,0
7809,16,23,41,1
1590,13,5,62,1
4672,20,80,62,0
9256,78,84,28,1
3362,71,88,10,1
1206,48,68,92,1
4380,85,32,81,1
5668,41,15,8,0
8439,85,10,3,0
7274,23,20,99,1
6231,25,68,99,1
7480,74,36,29,0
2446,47,68,15,0
3845,20,44,1,0
8850,57,71,55,0
2736,62,76,19,0
7051,44,35,53,0
1768,83,31,31,0
7413,55,59,26,0
2990,74,5,57,0
7444,10,99,60,1
4070,85,58,59,0
1679,8,37,43,1
4093,6,36,50,1
1482,70,43,51,0
4909,17,87,56,1
2179,3,46,26,1
4380,88,26,75,1
3962,80,97,63,1
6344,67,100,40,1
4263,19,29,55,1
3328,50,33,36,0
2293,99,43,35,0
6493,34,82,22,1
6218,41,72,72,1
8930,5,100,96,1
2614,39,47,27,0
9880,27,70,86,1
8543,35,14,87,1
1751,59,70,93,1
440,36,34,42,0
7812,1,5,40,1
867,65,83,93,1
7976,61,5,35,0
5940,83,66,24,0
4378,54,60,12,0
3499,1,3,15,1
7004,82,36,33,0
4668,59,31,69,0
6057,77,83,56,1
1005,100,66,40,0
8110,49,90,65,1
8819,32,11,69,0
7654,63,80,86,1
313,68,19,51,0
599,5,69,25,1
7200,16,85,58,1
6232,1,72,62,1
182,9,84,80,1
7268,8,8,82,1
7639,35,97,74,1
45,17,85,11,1
7250,85,52,57,0
1776,46,50,36,0
4259,71,67,41,0
9834,83,11,89,1
5662,21,59,46,0
4290,93,41,20,0
6960,52,18,35,0
6012,13,54,37,1
7079,96,37,15,0
3797,57,53,54,0
1961,20,10,46,0
8161,69,90,81,1
2623,67,21,22,0
9157,45,59,86,1
4382,96,11,90,1
8098,60,31,75,1
4731,57,84,61,1
2365,58,41,47,0
5353,69,41,5,0
313,81,93,95,1
8410,27,72,33,0
3611,41,52,69,0
9569,68,18,72,1
7227,6,25,12,1
8310,75,62,28,0
6854,58,76,85,1
317,89,36,35,0
